Mission_Name,Waypoint_No_or_Phase,Target_X,Target_Y,Target_Z,Actual_X,Actual_Y,Actual_Z,Desired_Time_Seconds,Actual_Time_Taken_Seconds,Time_Error_Seconds,Mission_Elapsed_Time_Seconds,Segment_Start_Date,Segment_Start_Clock,Segment_End_Date,Segment_End_Clock,Real_World_End_DateTime,Direct_Distance_m,Total_Distance_Travelled_m,Average_Speed_mps,Yaw_Degrees,Yaw_Rotation_Time_Seconds,Final_Position_Error_m,Max_Position_Error_m,Estimated_Wind_X,Estimated_Wind_Y,Estimated_Wind_Z,Average_Commanded_Velocity_X,Average_Commanded_Velocity_Y,Average_Commanded_Velocity_Z,Control_Steps,Path_Efficiency_Percent,Battery_Used_Percent,Battery_Remaining_Percent
Waypoint Navigation,TAKEOFF,0.0,0.0,-5.0,0.0,0.0,-4.921,8.419,8.419,0,8.419,2026-06-05,18:20:07,2026-06-05,18:20:15,2026-06-05 18:20:15,4.051,4.051,0.481,0,0,0.079,0.079,0,0,0,0,0,0,79,100,0,100.0
Waypoint Navigation,1,10,0,-5,9.21,0.005,-5.123,5,5.004,0.004,5.509,2026-06-05,18:20:16,2026-06-05,18:20:21,2026-06-05 18:20:21,10.0,9.245,1.848,90,0.504,0.8,10.023,-8.786,0.053,-1.44,2.623,-0.009,0.215,80,108.17,2.33,97.67
Waypoint Navigation,2,10,10,-5,10.134,9.216,-5.118,5,5.004,0.004,11.016,2026-06-05,18:20:21,2026-06-05,18:20:26,2026-06-05 18:20:26,10.027,10.11,2.02,180,0.504,0.805,10.124,1.499,-8.741,-1.399,-0.639,2.613,0.291,80,99.19,2.53,95.15
Waypoint Navigation,3,0,10,-5,0.76,10.113,-5.11,5,5.002,0.002,16.523,2026-06-05,18:20:27,2026-06-05,18:20:32,2026-06-05 18:20:32,10.165,9.515,1.902,270,0.503,0.776,9.85,8.375,1.244,-1.301,-2.48,-0.505,0.198,80,106.84,2.38,92.77
Waypoint Navigation,4,0,0,-5,-0.118,0.776,-5.115,5,5.005,0.005,22.031,2026-06-05,18:20:32,2026-06-05,18:20:37,2026-06-05 18:20:37,10.142,9.84,1.966,360,0.503,0.793,9.955,-1.32,8.717,-1.377,0.561,-2.619,0.254,80,103.07,2.46,90.31
Waypoint Navigation,LANDING,-0.11757760494947433,0.7755538821220398,0,-0.137,1.061,-0.116,6.611,6.611,0,6.611,2026-06-05,18:20:37,2026-06-05,18:20:44,2026-06-05 18:20:44,7.152,7.152,1.082,0,0,0.116,0.116,0,0,0,0,0,0,95,100,0,90.31
